ori,ff_shootings_total,shr_homicides_total,shr_police_total
NJ0090100,1,6,0
FL0062700,2,0,0
NC0760000,4,4,0
GA0920000,3,4,0
GA0440000,1,0,0
WI0050200,3,26,3
TX2120000,1,40,0
TN0050000,1,13,1
VA1200000,3,157,1
VA1270000,1,28,0
PA0250200,1,52,1
AL0011200,2,18,0
WI0520200,2,35,1
TX0570400,3,25,0
TX1050000,2,10,0
TX2260100,4,34,0
TN0330000,6,18,7
CA0300900,4,25,0
NM0070100,12,46,1
NC0920300,1,15,0
TX1080400,3,20,0
NJ0110300,1,16,1
IN0450500,4,270,7
CA0010600,4,50,2
CO0010500,12,56,13
AR0600300,3,102,1
TX0201000,3,14,0
UT0250000,4,12,2
TX2460500,2,15,0
NY0590400,1,10,0
FL0060600,2,0,0
AR0160100,3,47,0
MO0500000,3,31,0
OK0160100,6,73,1
CA0490500,1,23,0
TX1650100,2,44,1
TX1081000,4,5,0
NJ0160700,1,11,1
SC0080000,4,55,1
NC0360600,3,45,0
GA0080000,3,8,0
MO0100200,3,54,0
IA0820200,2,60,3
NC0110100,1,54,0
FL0050700,3,0,0
RI0020300,1,7,0
TX0920500,3,68,0
CO0300100,8,24,6
NJ0150700,1,6,1
GA1070000,3,35,0
IN0450000,3,14,0
CO0070100,3,15,1
TX1010100,3,44,1
KY0080000,1,8,0
NY0435000,1,3,1
OH0760400,1,66,1
AR0040000,2,18,0
OH0180000,1,5,0
CT0008900,2,15,0
AL0380100,1,1,0
FL0280000,3,0,0
WV0200200,3,58,0
MD0160000,1,0,0
PA0061400,1,59,0
NJ0070900,1,51,1
FL0520800,2,0,0
MS0170000,3,12,1
MT0560100,9,42,1
FL0500400,1,0,0
LA0490000,1,28,0
CA0191200,1,4,0
MS0300000,1,7,0
CA0331500,4,19,0
TX1700100,2,21,0
GA0600500,1,14,0
MN0690600,1,11,1
CA0301500,2,20,0
SC0180000,1,30,1
VA1140000,1,31,0
GA1470000,4,9,0
IA0770000,1,9,0
CO0620200,8,41,7
CO0070400,2,10,1
NC0180000,1,19,0
RI0040200,1,8,0
NJ0150000,1,0,0
MS0240200,6,72,2
TN0900100,1,25,2
NY0450000,1,5,1
CA0540700,6,39,0
CA0440000,2,15,0
TX0680200,5,72,5
IL0490000,2,11,1
NC0670000,2,23,0
NC0450000,2,5,0
SC0390000,1,24,0
FL0131100,1,0,0
NY0460100,2,26,1
NJ0061400,3,18,3
NJ0071700,1,35,1
CA0195500,5,82,2
TX0210200,3,17,2
FL0051200,4,0,0
IL0492100,2,26,0
FL0500300,3,0,0
ME0030500,1,12,1
NC0010000,2,23,0
WA0170700,6,47,0
TX0200000,3,24,1
SC0100800,4,209,3
NJ0150600,2,6,2
FL0170100,2,0,0
CA0370600,5,32,3
MN0550100,1,17,0
TX0430100,3,3,0
CA0301400,1,9,1
AZ0072700,2,25,2
AR0720200,2,7,0
AR0720000,3,13,0
LA0510000,2,10,0
WA0060000,7,27,1
CA0270800,3,131,2
TX0140700,2,43,0
MI7017000,2,18,0
MO0390000,1,17,1
CT0003400,1,10,1
FL0450000,6,0,0
CO0510000,4,13,1
TX0840400,1,23,0
CA0431400,4,9,1
AL0050000,4,0,0
ID0140200,5,25,0
NB0280000,2,8,0
MA0093300,1,0,0
TN0820000,4,24,2
LA0100200,3,51,0
RI0040800,2,17,1
LA0260300,1,30,0
CA0340H00,1,8,1
GA0605600,1,21,0
AL0590000,3,0,0
MD0110300,1,14,1
CA0230000,2,28,0
CA0560800,1,19,0
AR0660100,2,40,1
NM0070000,3,11,0
NC0780000,2,89,0
IN0200100,4,28,0
KS0230100,1,0,0
CA0310500,1,11,1
WA0390500,4,83,3
NM0260100,5,14,0
TN0830400,1,6,0
GA0560000,2,11,2
VA0440000,1,25,0
OR0340300,5,17,4
CA0300400,1,8,0
MO0480800,1,10,1
VA0340000,1,11,0
CA0450000,5,30,0
PA0360500,4,24,1
NY0410200,2,30,3
TX1230000,2,4,0
NC0360500,4,23,0
PA0233700,2,17,0
UT0030000,1,2,0
AL0470000,1,0,0
AZ0140500,2,60,0
TX1081100,1,15,0
SD0510100,5,52,0
IN0790100,1,20,0
CO0390000,4,18,1
IN0840100,3,24,0
CA0070400,2,23,2
OR0340100,4,7,0
VA0800300,2,10,0
GA0920100,1,35,0
CA0071000,3,104,2
AZ0070100,3,32,0
OR0150000,3,31,0
MO0360000,1,7,0
PA0220200,4,74,0
NC0430000,1,45,0
IN0290100,2,2,0
IA0970100,1,21,1
MO0110100,3,43,2
GA0470100,2,99,0
MS0240100,4,21,0
SC0020000,5,59,0
SC0290000,2,36,2
MN0020000,1,6,0
AL0430100,1,0,0
NC0510000,1,16,0
ND0080100,2,8,0
GA0760000,3,5,0
MO0240000,2,3,0
TX0840800,5,22,4
NM0230600,1,8,0
UT0290100,8,35,0
MS0170100,1,11,0
CA0197600,4,16,0
NC0550000,2,7,0
NY0145500,1,8,1
CA0580000,5,24,1
TN0790600,1,3,0
AR0600000,1,28,0
WA0173600,5,48,3
AR0720100,2,26,3
FL0580300,2,0,0
WI0680500,5,11,3
AR0230100,1,20,0
NJ0090800,1,4,1
NC0010100,1,34,0
NJ0070200,1,4,1
WI0411600,1,18,1
FL0540000,2,0,0
TN0830000,1,15,0
GA0160000,2,4,0
OK0550300,2,11,0
CA0420300,1,7,0
SC0430000,1,33,0
OH0090200,2,26,0
FL0502600,1,0,0
GA0070000,1,3,0
LA0600000,1,4,0
WA0180000,1,23,0
ID0010300,3,10,0
NC0290000,6,14,0
CA0420400,3,34,1
MI8253800,1,2,0
CO0640100,1,9,0
MN0820000,2,5,0
FL0130500,2,0,0
TX2350100,1,21,0
OH0120000,1,1,0
NC0740000,1,24,0
NC0800000,1,28,0
IL0163200,1,14,0
IA0780100,1,13,0
LA0500000,2,21,0
CA0370500,3,22,2
FL0061800,1,0,0
CT0004300,1,10,0
NM0240200,4,16,0
IN0710000,1,13,1
IN0290700,1,6,0
AZ0130000,7,20,0
NC0230000,1,6,0
MS0240000,3,10,0
SC0420100,2,42,1
CA0192200,4,34,2
MN0270100,1,14,0
CO0390100,5,21,1
IL1010000,1,16,0
UT0180600,6,17,3
OR0260100,3,43,0
WA0370100,1,12,0
LA0400100,1,96,0
CA0300800,3,12,0
WA0171300,4,26,0
CA0360200,3,13,2
VA0980000,1,19,1
TN0060000,3,9,0
TX0140000,1,4,0
KS0890000,2,3,0
WI0300000,1,7,0
VA1070000,2,68,0
WA0320000,5,29,1
CA0480300,3,42,0
IL0100100,2,35,0
MS0610000,3,12,0
MT0320100,4,20,4
MN0730400,1,18,0
IA0070300,1,34,0
TX1230700,2,57,1
FL0560100,3,0,0
CA0070100,4,65,3
MI3913900,5,24,0
CA0192000,1,21,0
MO0920100,1,8,1
WA0170100,5,37,2
GA1260000,3,8,0
CA0360900,5,29,0
NJ0133100,1,1,1
CO0010300,4,23,2
NV0120000,5,14,0
LA0160000,1,10,0
UT0180500,1,9,0
CO0070000,2,7,2
TN0790100,1,6,0
TX1550000,1,5,0
NC0180200,1,36,0
MS0410100,2,0,0
MO0480000,3,6,0
CA0280000,2,2,0
OH0184200,1,5,0
TN0780000,1,6,1
MA0122000,1,2,0
FL0131800,1,0,0
TN0820200,1,22,0
KY0590100,1,20,0
VA0600000,1,11,0
NV0160200,9,27,3
AZ0070300,2,18,2
OR0150400,4,19,1
NC0980100,1,40,0
AL0410100,2,2,0
LA0570000,1,10,0
MI6378400,1,9,0
FL0061100,1,0,0
CT0007700,2,9,0
IN0530000,1,5,0
WY0130000,1,2,0
WI0450100,3,14,2
TX1050100,2,26,0
CT0005100,1,1,0
